"Project","Status","ExitCode","DurationSeconds","Output"
"AgentsWithGroupChatOrchestrationWithHumanInput\14.04 AgentsWithGroupChatOrchestrationWithHumanInput.csproj","Failed","-532462766","11,3","ts arguments, Kernel kernel, String additionalInstructions, CancellationToken cancellationToken)+MoveNext()
   at Microsoft.SemanticKernel.Agents.ChatCompletionAgent.InternalInvokeAsync(String agentName, ChatHistory history, Func`2 onNewToolMessage, KernelArguments arguments, Kernel kernel, String additionalInstructions, CancellationToken cancellationToken)+System.Threading.Tasks.Sources.IValueTaskSource<System.Boolean>.GetResult()
   at Microsoft.SemanticKernel.Agents.ChatCompletionAgent.InvokeAsync(ICollection`1 messages, AgentThread thread, AgentInvokeOptions options, CancellationToken cancellationToken)+MoveNext()
   at Microsoft.SemanticKernel.Agents.ChatCompletionAgent.InvokeAsync(ICollection`1 messages, AgentThread thread, AgentInvokeOptions options, CancellationToken cancellationToken)+MoveNext()
   at Microsoft.SemanticKernel.Agents.ChatCompletionAgent.InvokeAsync(ICollection`1 messages, AgentThread thread, AgentInvokeOptions options, CancellationToken cancellationToken)+System.Threading.Tasks.Sources.IValueTaskSource<System.Boolean>.GetResult()
   at Microsoft.SemanticKernel.Agents.Orchestration.AgentActor.InvokeAsync(IList`1 input, AgentInvokeOptions options, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.Agents.Orchestration.AgentActor.InvokeAsync(IList`1 input, AgentInvokeOptions options, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.Agents.Orchestration.AgentActor.InvokeAsync(IList`1 input, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.Agents.Orchestration.OrchestrationResult`1.GetValueAsync(Nullable`1 timeout, CancellationToken cancellationToken)
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\AgentsWithGroupChatOrchestrationWithHumanInput\Program.cs:line 120
   at Program.<Main>(String[] args)
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Orchestration.GroupChat.GroupChatAgentActor.HandleAsync(Speak item, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.Core.Internal.HandlerInvoker.<>c__DisplayClass4_0.<<-ctor>b__1>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Runtime.Core.Internal.HandlerInvoker.InvokeAsync(Object obj, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.Core.BaseAgent.OnMessageAsync(Object message, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.InProcessRuntime.<>c__DisplayClass35_0.<<PublishMessageServicerAsync>g__ProcessSubscriptionAsync|0>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.InProcessRuntime.PublishMessageServicerAsync(MessageEnvelope envelope, CancellationToken deliveryToken)
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.MessageEnvelope.<>c__DisplayClass24_0.<<ForPublish>g__BoundServicer|0>d.MoveNext()"
"AgentsWithGroupChatOrchestrationWithGroupChatManager\14.02 AgentsWithGroupChatOrchestrationWithGroupChatManager.csproj","TimedOut",,"12,3","uments, Kernel kernel, String additionalInstructions, CancellationToken cancellationToken)+MoveNext()
   at Microsoft.SemanticKernel.Agents.ChatCompletionAgent.InternalInvokeAsync(String agentName, ChatHistory history, Func`2 onNewToolMessage, KernelArguments arguments, Kernel kernel, String additionalInstructions, CancellationToken cancellationToken)+System.Threading.Tasks.Sources.IValueTaskSource<System.Boolean>.GetResult()
   at Microsoft.SemanticKernel.Agents.ChatCompletionAgent.InvokeAsync(ICollection`1 messages, AgentThread thread, AgentInvokeOptions options, CancellationToken cancellationToken)+MoveNext()
   at Microsoft.SemanticKernel.Agents.ChatCompletionAgent.InvokeAsync(ICollection`1 messages, AgentThread thread, AgentInvokeOptions options, CancellationToken cancellationToken)+MoveNext()
   at Microsoft.SemanticKernel.Agents.ChatCompletionAgent.InvokeAsync(ICollection`1 messages, AgentThread thread, AgentInvokeOptions options, CancellationToken cancellationToken)+System.Threading.Tasks.Sources.IValueTaskSource<System.Boolean>.GetResult()
   at Microsoft.SemanticKernel.Agents.Orchestration.AgentActor.InvokeAsync(IList`1 input, AgentInvokeOptions options, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.Agents.Orchestration.AgentActor.InvokeAsync(IList`1 input, AgentInvokeOptions options, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.Agents.Orchestration.AgentActor.InvokeAsync(IList`1 input, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.Agents.Orchestration.OrchestrationResult`1.GetValueAsync(Nullable`1 timeout, CancellationToken cancellationToken)
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\AgentsWithGroupChatOrchestrationWithGroupChatManager\Program.cs:line 115
   at Program.<Main>(String[] args)
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Orchestration.GroupChat.GroupChatAgentActor.HandleAsync(Speak item, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.Core.Internal.HandlerInvoker.<>c__DisplayClass4_0.<<-ctor>b__1>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Runtime.Core.Internal.HandlerInvoker.InvokeAsync(Object obj, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.Core.BaseAgent.OnMessageAsync(Object message, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.InProcessRuntime.<>c__DisplayClass35_0.<<PublishMessageServicerAsync>g__ProcessSubscriptionAsync|0>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.InProcessRuntime.PublishMessageServicerAsync(MessageEnvelope envelope, CancellationToken deliveryToken)
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.MessageEnvelope.<>c__DisplayClass24_0.<<ForPublish>g__BoundServicer|0>d.MoveNext()"
"AgentsWithGroupChatOrchestrationWithMonitoredGroupChatManager\14.03 AgentsWithGroupChatOrchestrationWithMonitoredGroupChatManager.csproj","TimedOut",,"12,3","ernel kernel, String additionalInstructions, CancellationToken cancellationToken)+MoveNext()
   at Microsoft.SemanticKernel.Agents.ChatCompletionAgent.InternalInvokeAsync(String agentName, ChatHistory history, Func`2 onNewToolMessage, KernelArguments arguments, Kernel kernel, String additionalInstructions, CancellationToken cancellationToken)+System.Threading.Tasks.Sources.IValueTaskSource<System.Boolean>.GetResult()
   at Microsoft.SemanticKernel.Agents.ChatCompletionAgent.InvokeAsync(ICollection`1 messages, AgentThread thread, AgentInvokeOptions options, CancellationToken cancellationToken)+MoveNext()
   at Microsoft.SemanticKernel.Agents.ChatCompletionAgent.InvokeAsync(ICollection`1 messages, AgentThread thread, AgentInvokeOptions options, CancellationToken cancellationToken)+MoveNext()
   at Microsoft.SemanticKernel.Agents.ChatCompletionAgent.InvokeAsync(ICollection`1 messages, AgentThread thread, AgentInvokeOptions options, CancellationToken cancellationToken)+System.Threading.Tasks.Sources.IValueTaskSource<System.Boolean>.GetResult()
   at Microsoft.SemanticKernel.Agents.Orchestration.AgentActor.InvokeAsync(IList`1 input, AgentInvokeOptions options, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.Agents.Orchestration.AgentActor.InvokeAsync(IList`1 input, AgentInvokeOptions options, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.Agents.Orchestration.AgentActor.InvokeAsync(IList`1 input, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.Agents.Orchestration.OrchestrationResult`1.GetValueAsync(Nullable`1 timeout, CancellationToken cancellationToken)
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\AgentsWithGroupChatOrchestrationWithMonitoredGroupChatManager\Program.cs:line 124
   at Program.<Main>(String[] args)
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Orchestration.GroupChat.GroupChatAgentActor.HandleAsync(Speak item, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.Core.Internal.HandlerInvoker.<>c__DisplayClass4_0.<<-ctor>b__1>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Runtime.Core.Internal.HandlerInvoker.InvokeAsync(Object obj, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.Core.BaseAgent.OnMessageAsync(Object message, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.InProcessRuntime.<>c__DisplayClass35_0.<<PublishMessageServicerAsync>g__ProcessSubscriptionAsync|0>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.InProcessRuntime.PublishMessageServicerAsync(MessageEnvelope envelope, CancellationToken deliveryToken)
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.MessageEnvelope.<>c__DisplayClass24_0.<<ForPublish>g__BoundServicer|0>d.MoveNext()"
"AgentsWithHandoffOrchestration\15.01 AgentsWithHandoffOrchestration.csproj","TimedOut",,"12,4",""
"AgentsWithConcurrentOrchestration\13.3 AgentsWithConcurrentOrchestration.csproj","TimedOut",,"12,5","manticKernel.Connectors.OpenAI.ClientCore.GetChatMessageContentsAsync(String targetModel, ChatHistory chatHistory, PromptExecutionSettings executionSettings, Kernel kernel, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.Agents.ChatCompletionAgent.InternalInvokeAsync(String agentName, ChatHistory history, Func`2 onNewToolMessage, KernelArguments arguments, Kernel kernel, String additionalInstructions, CancellationToken cancellationToken)+MoveNext()
   at Microsoft.SemanticKernel.Agents.ChatCompletionAgent.InternalInvokeAsync(String agentName, ChatHistory history, Func`2 onNewToolMessage, KernelArguments arguments, Kernel kernel, String additionalInstructions, CancellationToken cancellationToken)+System.Threading.Tasks.Sources.IValueTaskSource<System.Boolean>.GetResult()
   at Microsoft.SemanticKernel.Agents.ChatCompletionAgent.InvokeAsync(ICollection`1 messages, AgentThread thread, AgentInvokeOptions options, CancellationToken cancellationToken)+MoveNext()
   at Microsoft.SemanticKernel.Agents.ChatCompletionAgent.InvokeAsync(ICollection`1 messages, AgentThread thread, AgentInvokeOptions options, CancellationToken cancellationToken)+MoveNext()
   at Microsoft.SemanticKernel.Agents.ChatCompletionAgent.InvokeAsync(ICollection`1 messages, AgentThread thread, AgentInvokeOptions options, CancellationToken cancellationToken)+System.Threading.Tasks.Sources.IValueTaskSource<System.Boolean>.GetResult()
   at Microsoft.SemanticKernel.Agents.Orchestration.AgentActor.InvokeAsync(IList`1 input, AgentInvokeOptions options, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.Agents.Orchestration.AgentActor.InvokeAsync(IList`1 input, AgentInvokeOptions options, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.Agents.Orchestration.AgentActor.InvokeAsync(IList`1 input, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.Agents.Orchestration.OrchestrationResult`1.GetValueAsync(Nullable`1 timeout, CancellationToken cancellationToken)
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\AgentsWithConcurrentOrchestration\Program.cs:line 128
   at Program.<Main>(String[] args)
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Orchestration.Concurrent.ConcurrentActor.HandleAsync(Request item, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.Core.Internal.HandlerInvoker.<>c__DisplayClass4_0.<<-ctor>b__1>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Runtime.Core.Internal.HandlerInvoker.InvokeAsync(Object obj, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.Core.BaseAgent.OnMessageAsync(Object message, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.InProcessRuntime.<>c__DisplayClass35_0.<<PublishMessageServicerAsync>g__ProcessSubscriptionAsync|0>d.MoveNext()"
"AgentsWithHandoffOrchestrationWithHumanInput\15.07 AgentsWithHandoffOrchestrationWithHumanInput.csproj","TimedOut",,"12,4",""
"AgentsWithGroupChatOrchestration\14.01 AgentsWithGroupChatOrchestration.csproj","TimedOut",,"12,5"," KernelArguments arguments, Kernel kernel, String additionalInstructions, CancellationToken cancellationToken)+MoveNext()
   at Microsoft.SemanticKernel.Agents.ChatCompletionAgent.InternalInvokeAsync(String agentName, ChatHistory history, Func`2 onNewToolMessage, KernelArguments arguments, Kernel kernel, String additionalInstructions, CancellationToken cancellationToken)+System.Threading.Tasks.Sources.IValueTaskSource<System.Boolean>.GetResult()
   at Microsoft.SemanticKernel.Agents.ChatCompletionAgent.InvokeAsync(ICollection`1 messages, AgentThread thread, AgentInvokeOptions options, CancellationToken cancellationToken)+MoveNext()
   at Microsoft.SemanticKernel.Agents.ChatCompletionAgent.InvokeAsync(ICollection`1 messages, AgentThread thread, AgentInvokeOptions options, CancellationToken cancellationToken)+MoveNext()
   at Microsoft.SemanticKernel.Agents.ChatCompletionAgent.InvokeAsync(ICollection`1 messages, AgentThread thread, AgentInvokeOptions options, CancellationToken cancellationToken)+System.Threading.Tasks.Sources.IValueTaskSource<System.Boolean>.GetResult()
   at Microsoft.SemanticKernel.Agents.Orchestration.AgentActor.InvokeAsync(IList`1 input, AgentInvokeOptions options, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.Agents.Orchestration.AgentActor.InvokeAsync(IList`1 input, AgentInvokeOptions options, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.Agents.Orchestration.AgentActor.InvokeAsync(IList`1 input, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.Agents.Orchestration.OrchestrationResult`1.GetValueAsync(Nullable`1 timeout, CancellationToken cancellationToken)
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\AgentsWithGroupChatOrchestration\Program.cs:line 115
   at Program.<Main>(String[] args)
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Orchestration.GroupChat.GroupChatAgentActor.HandleAsync(Speak item, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.Core.Internal.HandlerInvoker.<>c__DisplayClass4_0.<<-ctor>b__1>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Runtime.Core.Internal.HandlerInvoker.InvokeAsync(Object obj, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.Core.BaseAgent.OnMessageAsync(Object message, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.InProcessRuntime.<>c__DisplayClass35_0.<<PublishMessageServicerAsync>g__ProcessSubscriptionAsync|0>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.InProcessRuntime.PublishMessageServicerAsync(MessageEnvelope envelope, CancellationToken deliveryToken)
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.MessageEnvelope.<>c__DisplayClass24_0.<<ForPublish>g__BoundServicer|0>d.MoveNext()"
"AgentsWithConcurrentOrchestrationWithStructuredOutput\13.4 AgentsWithConcurrentOrchestrationWithStructuredOutput.csproj","TimedOut",,"12,5","Using launch settings from C:\Users\danie\source\repos\Apex.SemanticKernelInAction\AgentsWithConcurrentOrchestrationWithStructuredOutput\Properties\launchSettings.json..."
"AgentsWithHandoffOrchestrationIncrementorPatched\15.08cAgentsWithHandoffOrchestrationIncrementorPatched.csproj","TimedOut",,"12,5",""
"AgentsWithHandoffOrchestrationIncrementor\15.08b AgentsWithHandoffOrchestrationIncrementor.csproj","TimedOut",,"12,6",""
