"Project","Status","ExitCode","DurationSeconds","Detail"
"Agents\Agents.csproj","NotRunnable",,"0","OutputType="
"AgentsWithConcurrentOrchestration\13.3 AgentsWithConcurrentOrchestration.csproj","Failed","-532462766","7,4","ation.AgentActor.InvokeAsync(IList`1 input, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.Agents.Orchestration.OrchestrationResult`1.GetValueAsync(Nullable`1 timeout, CancellationToken cancellationToken)
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\AgentsWithConcurrentOrchestration\Program.cs:line 128
   at Program.<Main>(String[] args)
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Orchestration.Concurrent.ConcurrentActor.HandleAsync(Request item, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.Core.Internal.HandlerInvoker.<>c__DisplayClass4_0.<<-ctor>b__1>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Runtime.Core.Internal.HandlerInvoker.InvokeAsync(Object obj, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.Core.BaseAgent.OnMessageAsync(Object message, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.InProcessRuntime.<>c__DisplayClass35_0.<<PublishMessageServicerAsync>g__ProcessSubscriptionAsync|0>d.MoveNext()"
"AgentsWithConcurrentOrchestrationWithStructuredOutput\13.4 AgentsWithConcurrentOrchestrationWithStructuredOutput.csproj","Failed","-532462766","7,5","okeAsync(IList`1 input, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.Agents.Orchestration.OrchestrationResult`1.GetValueAsync(Nullable`1 timeout, CancellationToken cancellationToken)
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\AgentsWithConcurrentOrchestrationWithStructuredOutput\Program.cs:line 123
   at Program.<Main>(String[] args)
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Orchestration.Concurrent.ConcurrentActor.HandleAsync(Request item, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.Core.Internal.HandlerInvoker.<>c__DisplayClass4_0.<<-ctor>b__1>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Runtime.Core.Internal.HandlerInvoker.InvokeAsync(Object obj, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.Core.BaseAgent.OnMessageAsync(Object message, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.InProcessRuntime.<>c__DisplayClass35_0.<<PublishMessageServicerAsync>g__ProcessSubscriptionAsync|0>d.MoveNext()"
"AgentsWithGroupChatOrchestration\14.01 AgentsWithGroupChatOrchestration.csproj","Failed","-532462766","8,2","tion\Program.cs:line 115
   at Program.<Main>(String[] args)
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Orchestration.GroupChat.GroupChatAgentActor.HandleAsync(Speak item, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.Core.Internal.HandlerInvoker.<>c__DisplayClass4_0.<<-ctor>b__1>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Runtime.Core.Internal.HandlerInvoker.InvokeAsync(Object obj, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.Core.BaseAgent.OnMessageAsync(Object message, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.InProcessRuntime.<>c__DisplayClass35_0.<<PublishMessageServicerAsync>g__ProcessSubscriptionAsync|0>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.InProcessRuntime.PublishMessageServicerAsync(MessageEnvelope envelope, CancellationToken deliveryToken)
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.MessageEnvelope.<>c__DisplayClass24_0.<<ForPublish>g__BoundServicer|0>d.MoveNext()"
"AgentsWithGroupChatOrchestrationWithGroupChatManager\14.02 AgentsWithGroupChatOrchestrationWithGroupChatManager.csproj","Failed","-532462766","7,1","ager\Program.cs:line 115
   at Program.<Main>(String[] args)
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Orchestration.GroupChat.GroupChatAgentActor.HandleAsync(Speak item, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.Core.Internal.HandlerInvoker.<>c__DisplayClass4_0.<<-ctor>b__1>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Runtime.Core.Internal.HandlerInvoker.InvokeAsync(Object obj, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.Core.BaseAgent.OnMessageAsync(Object message, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.InProcessRuntime.<>c__DisplayClass35_0.<<PublishMessageServicerAsync>g__ProcessSubscriptionAsync|0>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.InProcessRuntime.PublishMessageServicerAsync(MessageEnvelope envelope, CancellationToken deliveryToken)
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.MessageEnvelope.<>c__DisplayClass24_0.<<ForPublish>g__BoundServicer|0>d.MoveNext()"
"AgentsWithGroupChatOrchestrationWithHumanInput\14.04 AgentsWithGroupChatOrchestrationWithHumanInput.csproj","Failed","-532462766","7,6","nput\Program.cs:line 120
   at Program.<Main>(String[] args)
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Orchestration.GroupChat.GroupChatAgentActor.HandleAsync(Speak item, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.Core.Internal.HandlerInvoker.<>c__DisplayClass4_0.<<-ctor>b__1>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Runtime.Core.Internal.HandlerInvoker.InvokeAsync(Object obj, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.Core.BaseAgent.OnMessageAsync(Object message, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.InProcessRuntime.<>c__DisplayClass35_0.<<PublishMessageServicerAsync>g__ProcessSubscriptionAsync|0>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.InProcessRuntime.PublishMessageServicerAsync(MessageEnvelope envelope, CancellationToken deliveryToken)
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.MessageEnvelope.<>c__DisplayClass24_0.<<ForPublish>g__BoundServicer|0>d.MoveNext()"
"AgentsWithGroupChatOrchestrationWithMonitoredGroupChatManager\14.03 AgentsWithGroupChatOrchestrationWithMonitoredGroupChatManager.csproj","Failed","-532462766","7,5","ager\Program.cs:line 124
   at Program.<Main>(String[] args)
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Orchestration.GroupChat.GroupChatAgentActor.HandleAsync(Speak item, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.Core.Internal.HandlerInvoker.<>c__DisplayClass4_0.<<-ctor>b__1>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Runtime.Core.Internal.HandlerInvoker.InvokeAsync(Object obj, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.Core.BaseAgent.OnMessageAsync(Object message, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.InProcessRuntime.<>c__DisplayClass35_0.<<PublishMessageServicerAsync>g__ProcessSubscriptionAsync|0>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.InProcessRuntime.PublishMessageServicerAsync(MessageEnvelope envelope, CancellationToken deliveryToken)
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.MessageEnvelope.<>c__DisplayClass24_0.<<ForPublish>g__BoundServicer|0>d.MoveNext()"
"AgentsWithHandoffOrchestration\15.01 AgentsWithHandoffOrchestration.csproj","Passed","0","21,3","9:138] FIRE DETECTOR: Sounding fire alarm!
[01:28:30:471] FIRE DETECTOR: Starting water sprinkle.
[FireSafetyAgent]
  - ToolCall: FireDetectorPlugin-capture_camera_feed 
[FireSafetyAgent]
  - ToolCall: FireDetectorPlugin-sound_alarm 
[FireSafetyAgent]
  - ToolCall: FireDetectorPlugin-start_water_sprinkle 
[FireSafetyAgent]
  - ToolCall: HandoffPlugin-transfer_to_MotorsAgent 
--------------------------------------------------
[01:28:32:768] MOTORS: TurnRight: 90┬░
[01:28:35:560] MOTORS: Forward: 50m
[01:28:38:572] MOTORS: TurnLeft: 90┬░
[MotorsAgent]
  - ToolCall: MotorsPlugin-turn_right [angle, 90]
[MotorsAgent]
  - ToolCall: MotorsPlugin-forward [distance, 50]
[MotorsAgent]
  - ToolCall: MotorsPlugin-turn_left [angle, 90]
[MotorsAgent]
  - ToolCall: HandoffPlugin-end_task_with_summary [summary, Executed avoidance maneuver for a tree 50 meters ahead: turned right 90┬░, moved forward 50 meters, then turned left 90┬░ to return to the original path.]
--------------------------------------------------

# RESPONSE: Executed avoidance maneuver for a tree 50 meters ahead: turned right 90┬░, moved forward 50 meters, then turned left 90┬░ to return to the original path."
"AgentsWithHandoffOrchestrationIncrementor\15.08b AgentsWithHandoffOrchestrationIncrementor.csproj","Passed","0","11,6","# USER INPUT: Process the number 12.
Stop condition is 16.

[StarterAgent]
  - ToolCall: TransientPlugin-save_current_number [currentNumber, 12]
  - ToolCall: TransientPlugin-save_stop_condition [stopCondition, 16]
[StarterAgent]
  - ToolCall: HandoffPlugin-transfer_to_IncrementorAgent 
--------------------------------------------------
[IncrementorAgent]
  - ToolCall: TransientPlugin-load_current_number 
[IncrementorAgent]
  - ToolCall: TransientPlugin-increment_number [currentNumber, 12] [amount, 1]
[IncrementorAgent]
  - ToolCall: TransientPlugin-save_current_number [currentNumber, 13]
[IncrementorAgent]
  - ToolCall: HandoffPlugin-transfer_to_CheckerAgent 
--------------------------------------------------
[CheckerAgent]
  - ToolCall: TransientPlugin-load_current_number 
  - ToolCall: TransientPlugin-load_stop_condition 
[CheckerAgent]
  - ToolCall: HandoffPlugin-transfer_to_IncrementorAgent 
--------------------------------------------------
[IncrementorAgent]
This Assistant message had no content and no tools!!!

# RESPONSE:"
"AgentsWithHandoffOrchestrationIncrementorPatched\15.08cAgentsWithHandoffOrchestrationIncrementorPatched.csproj","Passed","0","11,8","# USER INPUT: Process the number 12.
Stop condition is 16.

[StarterAgent]
  - ToolCall: TempStarterPlugin-save_current_number [currentNumber, 12]
  - ToolCall: TempStarterPlugin-save_stop_condition [stopCondition, 16]
[StarterAgent]
  - ToolCall: HandoffPlugin-transfer_to_IncrementorAgent 
--------------------------------------------------
[IncrementorAgent]
  - ToolCall: TempIncrementorPlugin-load_current_number 
[IncrementorAgent]
  - ToolCall: TempIncrementorPlugin-increment_number [currentNumber, 12] [amount, 1]
[IncrementorAgent]
  - ToolCall: TempIncrementorPlugin-save_current_number [currentNumber, 13]
[IncrementorAgent]
  - ToolCall: HandoffPlugin-transfer_to_CheckerAgent 
--------------------------------------------------
[CheckerAgent]
  - ToolCall: TempCheckerPlugin-load_current_number 
  - ToolCall: TempCheckerPlugin-load_stop_condition 
[CheckerAgent]
  - ToolCall: HandoffPlugin-transfer_to_IncrementorAgent 
--------------------------------------------------
[IncrementorAgent]
This Assistant message had no content and no tools!!!

# RESPONSE:"
